id,triggerDesc,actionDesc,deviceCategory
bQYSTrev,WHEN a selected member arrives,", THEN set your aura to away scene",Light
bQZ5sSxY,"WHEN every time your Withings Sleep detects that you get into bed, within the start and end time parameters that you specify",", THEN turn off your hue lights",Light
bRHiLtPZ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
bRJEyc57,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
bRMUCvhs,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bRqSdByT,WHEN a selected member arrives,", THEN set your aura to away scene",Light
bRte4bUn,WHEN within 15 minutes of the sunset in your location,", THEN turn on a slow color loop effect for your hue lights",Light
bRvDXUbn,WHEN every time a song is played on Amazon Prime Music,", THEN change your hue lights to a randomly selected color",Light
bSXsznfA,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
bSqQLrjg,WHEN the scene is changed to the selected scene,", THEN set your aura to home scene",Light
bTH7deGj,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
bTz9EsVx,WHEN a selected member arrives,", THEN set your aura to away scene",Light
bTzJyN6M,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
bUCdBJRE,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
bUdDVW8e,WHEN Aura detects motion when set to Night scene,", THEN set your aura to away scene",Light
bVQDJYR7,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other
bVp9vDjN,WHEN a selected member arrives,", THEN set your aura to away scene",Light
bVrjSGmk,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change operation settings for heat mode in your device",Thermostat/Heating
bW8zfiJ3,WHEN every time IFTTT receives a specific event from Apilio,", THEN set your honeywell thermostat to permanently hold the specified temperature until you change it",Thermostat/Heating
bWJia6h3,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns off the selected wemo light",Light
bWNjZVbu,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bWPHwSu5,WHEN a selected member leaves,", THEN set your aura to away scene",Light
bXNh4sDz,WHEN every time the carbon dioxide rises above a value you specify,", THEN turn on your hvac system fan for the amount of time you specify in your nest fan timer setting (default is 15 minutes)",Thermostat/Heating
bXWdAprF,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
bXi3PKpt,WHEN every time you exit an area you specify,", THEN turn off your hue lights",Light
bXwU8VG6,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other
bYBS8EpT,WHEN a selected member arrives,", THEN set your aura to away scene",Light
bYM4wtyu,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN turn a wemo light switch on",Light
bYTgrPmH,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bYebZ84B,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bZ2jNEhw,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating
bZ5L7q4J,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to night scene",Light
bZ5WArCa,WHEN only on specific days of the week at the time you provide,", THEN turn on your smartthings devices that support switching on",Generic/Other
bZGcSTJu,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN open the garage door you specify",Generic/Other
bZWYRiDB,WHEN within 15 minutes of the sunrise in your location,", THEN turn off your hue lights",Light
bZjLhgsX,WHEN every single day at a specific time set by you,", THEN turn on your hue lights",Light
ba5FS6we,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
baLu5jGe,WHEN every time you enter an area you specify,", THEN turn on your hue lights",Light
bapD83tU,WHEN every time you exit an area you specify,", THEN switch off your light",Light
baxjBP8U,WHEN Aura detects motion,", THEN set your aura to away scene",Light
bazrtnQx,WHEN every single day at a specific time set by you,", THEN turn on a slow color loop effect for your hue lights",Light
bb5irRpX,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
bbDa5Bfc,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bbFBhmkP,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
bbtXArZj,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bbuw4Zsn,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
bc9tJ6u5,WHEN a selected member arrives,", THEN set your aura to away scene",Light
bcCkZBt8,WHEN a selected member leaves,", THEN set your aura to away scene",Light
bdGe9Z7F,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
bdTRQWem,WHEN every time you exit an area you specify,", THEN close the garage door you specify",Generic/Other
bdjPK8BC,WHEN Aura detects motion when set to Night scene,", THEN set your aura to home scene",Light
bdjmCiYN,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
bdyubNqR,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
beD57vCp,WHEN once a year on the date and time you specify,", THEN change the color of your hue lights to match the dominant colors found in an image you specify",Light
beDBMT52,WHEN every time you exit an area you specify,", THEN set your lights to a pre-defined scene",Light
beRmHDxB,WHEN every time you exit an area you specify,", THEN turn off your hue lights",Light
beabsiQx,WHEN Aura detects motion,", THEN set your aura to away scene",Light
behM4bT2,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
berQkT3n,WHEN Aura detects motion,", THEN set your aura to away scene",Light
bet3nxXV,WHEN every time you press the button,", THEN dim or brighten your hue lights to a value between 0-100",Light
bewZrkxK,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
bf8ctTjs,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
bfWJSXsN,WHEN every time a motion is detected at the given doorbell,", THEN turn on your smartthings devices that support switching on",Generic/Other
bfd5FJCQ,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn off your hue lights",Light
bfk5YGes,WHEN every time you enter an area you specify,", THEN turn on a device",Generic/Other
bfxtbZKE,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set a scene on your hue lights",Light
bgErTdcH,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
bgdiHGk8,WHEN the scene is changed to the selected scene,", THEN set your aura to home scene",Light
bh5dEMxw,WHEN only on specific days of the week at the time you provide,", THEN turn your lights on",Light
bhG2KJzM,WHEN every time your ecobee thermostat senses that the indoor temperature is greater than a specific value you supply,", THEN turn a wemo switch on",Generic/Other
bhJb6dk4,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bhapWZSX,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bhiaACTJ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bhrCfgQa,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set a scene on your hue lights",Light
bhrK3H79,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set a lutron dimmer or switch to the level you specify",Generic/Other
biNCE2WL,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
bicgpKBX,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN toggle a wemo switch on or off",Generic/Other
bijfNEGk,WHEN every time you press the button,", THEN turn on, turn off or toggle your lights",Light
biwvJ7F2,WHEN the Volatile Organic Compound (VOC) levels measured from your Awair device rises above the threshold you specified for more than 30 seconds,", THEN turn on your hvac system fan for the amount of time you specify in your nest fan timer setting (default is 15 minutes)",Thermostat/Heating
bjFiUy9Y,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set a nest thermostat to the temperature you specify",Thermostat/Heating
bjHB4xAf,WHEN every time you enter an area you specify,", THEN turn on a slow color loop effect for your hue lights",Light
bjV5DvfK,WHEN every single day at a specific time set by you,", THEN turn off your smartthings devices that support switching off",Generic/Other
bjYdguNc,WHEN every time you are tagged you in a new photo,", THEN change the color of your hue lights to match the dominant colors found in an image you specify",Light
bjvh6gPE,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN toggle a wemo switch on or off",Generic/Other
bkE4Kygi,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bkjaWnNL,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
bkxBsmia,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
bmCbuyjP,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other
bmYK2az8,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bmf8hzgN,WHEN a selected member arrives,", THEN set your aura to pet scene",Light
bmvSQJsw,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other
bmzs7wTR,WHEN every time a specific user you are subscribed to makes a new video public,", THEN change your light's brightness to the specified level",Light
bmzuXdnf,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
bn8J2EZQ,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights",Light
bnP5DYQm,WHEN only on specific days of the week at the time you provide,", THEN change the color of your hue lights",Light
bnWHxQ2w,WHEN a selected member arrives,", THEN set your aura to home scene",Light
bpGsvH5n,WHEN every time you enter an area you specify,", THEN turn your lights on",Light
bpNd4T27,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
bpXQHYn4,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
bpd2qnWr,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
bpk5Dd4P,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn off your hue lights",Light
bq9siMcL,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
bqdGv9Cj,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bqdbwKeE,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
bqtmQCif,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
br63BMq7,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set a scene on your hue lights",Light
brnE7ASd,WHEN a selected member arrives,", THEN set your aura to away scene",Light
bsX6GQWn,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
btXGLFQE,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
btbzkFqW,WHEN every single day at a specific time set by you,", THEN make your lights slowly breathe the color of your choice",Light
bthCLZN8,WHEN a selected member arrives,", THEN set your aura to home scene",Light
bu9xqjzw,WHEN every time the home you specify is set to Away,", THEN turn on your hue lights",Light
buaYGd3s,WHEN every time you press the button,", THEN turn on a slow color loop effect for your hue lights",Light
burEMfKV,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other
bvTAq42y,WHEN a selected member arrives,", THEN set your aura to away scene",Light
bvXHqszr,WHEN within 15 minutes of the sunrise in your location,", THEN turn off your hue lights",Light
bvbLYzMh,WHEN Aura detects motion when set to Night scene,", THEN set your aura to night scene",Light
bvnLHETt,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your hue lights",Light
bwaRbnxD,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
bwp6M3bR,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
bwuF9R2Y,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
bwup3gmA,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
bx4MDP7b,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
bxrFmwgs,WHEN within 15 minutes of the sunrise in your location,", THEN turn off your hue lights",Light
by7wGRc9,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
byBAev8h,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
byZ5rnu3,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
bz6eSMp4,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
bzFfS3xZ,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other
bzZU6EVQ,WHEN Aura detects motion when set to Night scene,", THEN set your aura to home scene",Light
c2BEsaLA,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
c2GFibC8,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set the light to specified color",Light
c2GWM4Dx,WHEN the scene is changed to the selected scene,", THEN set your aura to home scene",Light
c2WqShQ3,WHEN the scene is changed to the selected scene,", THEN set your aura to night scene",Light
c2fNYt7g,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
c2u6An4j,WHEN every time you add an item to your To Do List,", THEN change the color of your hue lights",Light
c2xdzrH8,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
c3Sw9F74,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
c3dnYigX,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
c3h5Dvej,WHEN a selected member arrives,", THEN set your aura to away scene",Light
c4KZFuTs,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
c4asgn9N,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
c4e2Px3N,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
c5KgFeLk,WHEN a selected member arrives,", THEN set your aura to away scene",Light
c5P4dirX,WHEN every single day at a specific time set by you,", THEN close the garage door you specify",Generic/Other
c5fjNM6i,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
c5rgM4xu,WHEN every time a song is played on Amazon Prime Music,", THEN turn on a slow color loop effect for your hue lights",Light
c6acPVzZ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
c6mMsLPU,WHEN Aura detects motion when set to Night scene,", THEN set your aura to home scene",Light
c6mf45z7,WHEN every time the home you specify is set to Home,", THEN set a scene on your hue lights",Light
c6xvugQz,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
c7PxXsKa,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights",Light
c7hFqzN5,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
c7r8PhXN,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn on your smartthings devices that support switching on",Generic/Other
c7sirbKP,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
c8D4nA6X,WHEN every single day at a specific time set by you,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating
c8HEVdmz,WHEN every time you exit an area you specify,", THEN turn off your hue lights",Light
c8T5PLSg,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
c8eJEH9c,WHEN every time your Android device's battery drops below 15%,", THEN turn on a device",Generic/Other
c8js4iCA,WHEN time-of-day peak rates start or end,", THEN set a target temperature on your window ac unit",Thermostat/Heating
c8ukw4ed,WHEN Aura detects motion,", THEN set your aura to away scene",Light
c9GCqVyQ,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your lights",Light
c9Grgekb,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
c9P5Xj3z,WHEN every time you enter an area you specify,", THEN turn a wemo insight switch on",Generic/Other
c9YAXnhi,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN close the garage door you specify",Generic/Other
cA2ZhUnX,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cAU79dtB,WHEN every single day at a specific time set by you,", THEN turn on your hue lights",Light
cBn8sVkm,WHEN a selected member arrives,", THEN set your aura to away scene",Light
cCGM4jR9,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
cCH5iadT,WHEN every time your alarm goes off,", THEN turn a wemo light switch on",Light
cCJqbWTL,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
cCTavuZq,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
cCVGHnLE,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
cD5VsXJY,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other
cDhU4NRw,WHEN within 15 minutes of the sunrise in your location,", THEN turns off the selected wemo light",Light
cEKSXu6U,WHEN within 15 minutes of the sunrise in your location,", THEN change the color of your hue lights",Light
cEk9fDXn,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cFU3TcnZ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cFVp8je4,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
cFXNKRp6,WHEN your Hubitat device turns on,", THEN turn on the device/group of your choosing",Generic/Other
cFd28ecA,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cFnYGrjx,WHEN every time you press the button,", THEN turn a wemo switch off",Generic/Other
cGJiZ3h5,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other
cGecR29B,WHEN every time you press the button,", THEN change the color of your hue lights",Light
cGigNryn,WHEN Aura detects motion when set to Night scene,", THEN set your aura to guardian scene",Light
cGkbx6aM,WHEN within 15 minutes of the sunset in your location,", THEN dim or brighten your hue lights to a value between 0-100",Light
cGzcsjuk,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cH7S5cEG,WHEN the scene is changed to the selected scene,", THEN set your aura to home scene",Light
cHkmKuL4,WHEN every time you exit an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating
cJ2CgRn6,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn off your hue lights",Light
cJm7Eagw,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
cK8LxUA5,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cKJ9q3dz,WHEN a selected member leaves,", THEN set your aura to away scene",Light
cKdwCYAu,WHEN every time a specific person arrives home,", THEN turn on your hue lights",Light
cKuW7Ar3,WHEN every time you enter an area you specify,", THEN turn on your hue lights",Light
cL9sJG7z,WHEN every time your alarm goes off,", THEN turn on your hue lights",Light
cLNSj9cs,WHEN a selected member arrives,", THEN set your aura to home scene",Light
cLvDt9E3,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
cM8UxvA6,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
cMFVxdeS,WHEN every time you press the button,", THEN boost heating to the temperature and duration you specify",Thermostat/Heating
cN3yCk2W,WHEN every time you create a new plain text status message on Facebook,", THEN change the color of your hue lights",Light
cN5Ye63S,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
cNnr9igM,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
cNwY9gpt,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cPRYNnwj,WHEN every time the carbon dioxide rises above a value you specify,", THEN briefly turn your hue lights off THEN back on",Light
cPSdfGWR,WHEN only on specific days of the week at the time you provide,", THEN briefly turn your hue lights off THEN back on",Light
cPxvGeJi,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
cQBYpNJZ,WHEN within 15 minutes of the sunrise in your location,", THEN turn off your hue lights",Light
cQDtNTY5,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
cQSuedAX,WHEN once a year on the date and time you specify,", THEN change the color of your hue lights",Light
cQdv7YZi,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cQen8J3b,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
cQfr7gpn,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cQjcbCL2,WHEN every time you add an item to your To Do List,", THEN set a nest thermostat to the temperature you specify",Thermostat/Heating
cR4USYse,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn off your hue lights",Light
cRE8sbMx,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN send an infrared signal to control your home appliances",Generic/Other
cRK3nvUz,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch on THEN immediately back off",Generic/Other
cRTgeUzL,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn off your hue lights",Light
cRVhyMuZ,WHEN a selected member arrives,", THEN set your aura to away scene",Light
cRgiQnud,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
cRhmVndU,WHEN every single day at a specific time set by you,", THEN turn a wemo light switch on",Light
cSB4EMRK,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cSCKsYjT,WHEN there is a new Super Chat message in a live chat during a live stream on your channel,", THEN set your lights to a specified brightness",Light
cSEvUNcD,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
cSYphmV5,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights",Light
cSacmXFp,WHEN the scene is changed to the selected scene,", THEN set your aura to home scene",Light
cTCL3e47,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
cTNhamQx,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
cTUwcfL3,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cTvNWKUt,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
cU2Wkg38,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
cUXP8T45,WHEN within 15 minutes of the sunset in your location,", THEN dim or brighten your hue lights to a value between 0-100",Light
cUY5HQD9,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your hue lights",Light
cUqzpDjG,WHEN a selected member arrives,", THEN set your aura to away scene",Light
cVUJQHF6,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
cVab4239,WHEN every time you enter an area you specify,", THEN turn on your hue lights",Light
cVesXA5Q,WHEN a selected member arrives,", THEN set your aura to away scene",Light
cVwQ7Jbp,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cWEzFr2J,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cWZVBCaK,WHEN every time you miss a phone call on your Android device,", THEN make your lights quickly blink the color of your choice",Light
cWtprjdf,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
cXFZtGYQ,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating
cXbpgAfx,WHEN every time your alarm goes off,", THEN turn on your hue lights",Light
cXmRYct2,WHEN a selected member leaves,", THEN set your aura to away scene",Light
cXvUZixC,WHEN every time you are tagged you in a new photo,", THEN make your lights quickly blink the color of your choice",Light
cYkfTg5d,WHEN every time your WeMo Switch is turned off,", THEN turn a wemo switch on",Generic/Other
cYrAE7FG,WHEN only on specific days of the week at the time you provide,", THEN turn on the device/group of your choosing",Generic/Other
cYvAS57P,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
cZ6UieTs,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
cZBYsuD6,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cZJsTHbt,WHEN every time you miss a phone call on your Android device,", THEN briefly turn your hue lights off THEN back on",Light
cZcW8NDV,WHEN every time the Nest Protect you specify detects warning smoke levels,", THEN turn on your hvac system fan for the amount of time you specify in your nest fan timer setting (default is 15 minutes)",Thermostat/Heating
cZeh3zmf,WHEN every time you exit an area you specify,", THEN set a nest thermostat to the temperature you specify",Thermostat/Heating
caHJ753f,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
caLvYNuj,WHEN only on specific days of the week at the time you provide,", THEN turn on your hue lights",Light
caZBHgpM,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set a nest thermostat to the temperature you specify",Thermostat/Heating
caqFJd92,WHEN every time you exit an area you specify,", THEN set your home to away mode",Thermostat/Heating
carjBtDz,WHEN every time you exit an area you specify,", THEN turn off your hue lights",Light
cayYhpBP,WHEN a selected member leaves,", THEN set your aura to home scene",Light
cb2Brg7R,WHEN every time the Nest Protect you specify detects warning smoke levels,", THEN turn a wemo switch on",Generic/Other
cb8pmq3W,WHEN a selected member arrives,", THEN set your aura to night scene",Light
cbBpPLTi,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
cbYpVEiQ,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
cbxd6XWN,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
ccDbWn6Q,WHEN every time you are @mentioned in a tweet,", THEN briefly turn your hue lights off THEN back on",Light
ccbRDLvG,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN change the color of your hue lights",Light
cct4A7eK,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn off your hue lights",Light
ce3FgY68,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn a wemo switch on",Generic/Other
ce5aTciC,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to permanently hold the specified temperature until you change it",Thermostat/Heating
ce6fhH3u,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN activate a scene",Light
ceDWNiyK,WHEN every time your timer goes off,", THEN briefly turn your hue lights off THEN back on",Light
ceQrZpT2,WHEN every time the Twitter user you specify tweets,", THEN briefly turn your hue lights off THEN back on",Light
cez5Mi79,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
cfedBZh9,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch off",Generic/Other
cgGTVDAL,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
cgTtQ9EP,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
cgb3WwYX,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene",Light
cgjN5qVr,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
cgkLdQNY,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
ch82zTAG,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
chBNdjM7,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
chxs6u5t,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
ci5F3hJY,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
ciJxAFPD,WHEN within 15 minutes of the sunrise in your location,", THEN turn your hive light off for a specific duration",Light
cizJNxaH,WHEN every time you press the button,", THEN turn your lights off",Light
cjs84B6w,WHEN only on specific days of the week at the time you provide,", THEN turn on your smartthings devices that support switching on",Generic/Other
cjvUbMNS,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
ck6PtQyY,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn your hive light off for a specific duration",Light
cmxuJP8d,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
cn2yGvW4,WHEN Aura detects motion when set to Night scene,", THEN set your aura to away scene",Light
cn7PucdV,WHEN a selected member arrives,", THEN set your aura to away scene",Light
cnhXbV4g,WHEN every time you exit an area you specify,", THEN turn your lights off",Light
cpBv3DUt,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
cpV6MtGP,WHEN a selected member arrives,", THEN set your aura to away scene",Light
cq3gNcf4,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
cq5Hezsu,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn your lights on",Light
cqDtwThF,WHEN the scene is changed to the selected scene,", THEN set your aura to home scene",Light
cqKjQWUb,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
cqarJ9hG,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
