id,triggerDesc,actionDesc,deviceCategory,original_content_after_dot
aHZupb4N,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
aJ46cZe3,WHEN the device attached to your WeMo Insight Switch is turned on longer than the minutes you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
aMhC3T5x,WHEN every time you enter an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
aNtxmvT9,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
aQSE2X6M,WHEN the solar power drops below the specified value in watts,", THEN turn off your daikin ac unit",Air/Climate,It will be executed within 1 minute.
aSQazjRb,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
aSsmf8iv,WHEN every time the Nest Protect you specify detects warning smoke levels,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
aT74wFXR,WHEN every time your WeMo Light Switch is turned on,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
amtjRqC5,WHEN every time an audio event is detected,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
arEAVjKw,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
auMpzD6J,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
awfGv6aH,WHEN every time your ecobee thermostat senses that the outdoor temperature is less than a specific value you supply,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
bAJKsLZu,WHEN every time your SmartThings device is switched on,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect for the specified number of hours.
bBEQpiux,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
bERe9PZU,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
bETu3Nbi,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN changes the brightness level of the selected wemo light",Light,If the light is off it will turn on with selected brightness level.
bEUh9Nwc,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
bL8fpVCt,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen",Light,You can enter either a hex value or a keyword for the color. Need help choosing a color? Bookmark nanoleaf.me/ifttt for easy access to a list and color picker.
bMqwJngK,WHEN the temperature for a specific device exceeds the specified threshold,", THEN turn on your daikin ac unit, or change its settings",Air/Climate,It will be executed within 1 minute.
bNDhCu5X,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set the current room temperature to a level of your choice",Thermostat/Heating,This temperature level can be adjusted manually or if Clock Mode is activated.
bPRmsQbc,WHEN every time your Fitbit logs new sleep,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
bSmLXuhT,WHEN every time the temperature rises above a threshold you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
bVQDJYR7,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
bWJia6h3,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
bXwU8VG6,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
bYM4wtyu,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
bZ2jNEhw,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
bZGcSTJu,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
bbLzidKj,WHEN every time your ecobee thermostat senses that the indoor temperature is less than a specific value you supply,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
bdTRQWem,WHEN every time you exit an area you specify,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
bgZdvTi7,WHEN every time you exit an area you specify,", THEN turn off the pivot power genius outlet you specify",Generic/Other,"If the outlet is already off, it will remain off."
bhG2KJzM,WHEN every time your ecobee thermostat senses that the indoor temperature is greater than a specific value you supply,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
bmCbuyjP,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
bmvSQJsw,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
burEMfKV,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
byYhpcAU,WHEN radon level of a device falls below the provided threshold,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
bzFfS3xZ,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
c5P4dirX,WHEN every single day at a specific time set by you,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
c8D4nA6X,WHEN every single day at a specific time set by you,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
c9P5Xj3z,WHEN every time you enter an area you specify,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
c9YAXnhi,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
cCH5iadT,WHEN every time your alarm goes off,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
cD5VsXJY,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
cDhU4NRw,WHEN within 15 minutes of the sunrise in your location,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
cFnYGrjx,WHEN every time you press the button,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
cGJiZ3h5,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
cHkmKuL4,WHEN every time you exit an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
cJN9yjre,WHEN a leak is detected by the specified device,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
cJpdv7sA,WHEN specified PIR KumoSensor or regular motion sensor tag detects no movement for a time-out period,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
cPqjNG43,WHEN every time the Nest Protect you specify detects dangerous carbon monoxide levels,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
cRhmVndU,WHEN every single day at a specific time set by you,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
cTzBVuUh,WHEN every time the you ask Alexa what's on your Shopping List,", THEN changes the brightness level of the selected group of wemo lights",Light,If the group is off it will turn on with selected brightness level.
cXFZtGYQ,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect for the specified number of hours.
cYkfTg5d,WHEN every time your WeMo Switch is turned off,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
cYr3Nhye,WHEN every time you post a new tweet with a specific hashtag,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
cb2Brg7R,WHEN every time the Nest Protect you specify detects warning smoke levels,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
cb47hqVP,WHEN once a year on the date and time you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
ce3FgY68,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
cfedBZh9,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
cibK9NM2,WHEN within 15 minutes of the sunset in your location,", THEN turn off the pivot power genius outlet you specify",Generic/Other,"If the outlet is already off, it will remain off."
cr7u4PMR,WHEN a Nexia automation runs,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
cuJQMpCG,WHEN the humidity measured from your Awair device rises above the threshold you specified for more than 30 seconds,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
cuv6Wtmq,WHEN every time the temperature drops below a value you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
cvWb6mgN,WHEN your Arlo device detects motion,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
d23VGfnw,WHEN every time a motion is detected at the given doorbell,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
d4GqQ9gY,WHEN your order is ready for pickup,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
d4rwsUmR,WHEN every time you click the selected Flic,", THEN turns off the selected group of wemo lights",Light,If the group is already off it will remain off.
d5JgRM9r,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
d5kTHm7R,WHEN a Wyze Cam detects a smoke alarm,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
d8j79xsL,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
dFEXBQ5d,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
dJRqYXNW,WHEN every time your Fitbit logs new sleep,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
dJTd2HbB,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN changes the brightness level of the selected wemo light",Light,If the light is off it will turn on with selected brightness level.
dKg8Hf54,WHEN every time the camera detects a sound or motion event,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
dLrzuCsk,WHEN every time an event matches the specified criteria,", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen",Light,You can enter either a hex value or a keyword for the color. Need help choosing a color? Bookmark nanoleaf.me/ifttt for easy access to a list and color picker.
dQZCJqWY,WHEN every time you enter an area you specify,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
dT2NAaHP,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
dTA6DRwN,WHEN every time a motion is detected at the given doorbell,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
dV8EaY3B,WHEN every time your WeMo Switch is turned off,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
dVTrEWMZ,WHEN every time your IFTTT Tag on MESH app receives an input signal from the other Tag,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
dVwrF4si,WHEN every time the temperature rises above a threshold you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
dWDF2V8E,WHEN every time you receive an SMS on your Android device that matches a search you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
dnza4GLp,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
dpNaTznU,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
drshpKzT,WHEN every time your alarm goes off,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
dv5x73AK,WHEN every time your WeMo Light Switch is turned off,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
dyu7CwB5,WHEN every time your WeMo Switch is turned off,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
e2QeJSK9,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
e2ZNGvXs,WHEN every time your ecobee thermostat senses that the indoor temperature is less than a specific value you supply,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
e45mG7bY,WHEN every time you send an SMS on your Android device that matches a search you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
e7da8ueB,WHEN every time the home you specify is set to Away,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
eAegUbYM,WHEN every time you press the button,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
eCKStMVE,WHEN every time your alarm goes off,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
eKaMVQtW,WHEN every single day at a specific time set by you,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
eMAq7BEs,WHEN you tap a gesture with a custom IFTTT task matching the ID of this trigger,", THEN changes the brightness level of the selected wemo light",Light,If the light is off it will turn on with selected brightness level.
ePCSZgiN,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn on your daikin ac unit, or change its settings",Air/Climate,It will be executed within 1 minute.
eRbY2jzD,WHEN every time your SkyBell HD detects motions,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
eSByquLr,WHEN an OhmHour ends,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
eSL5sk4b,WHEN every time you enter an area you specify,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
eTUSNd9A,WHEN a Blue By ADT sensor notices activity in the home,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
eTkyu72A,WHEN every time the temperature rises above a threshold you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
eWbX3crP,WHEN every time your Netatmo Presence detects a vehicle outside,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
eX6pejKv,WHEN every time you exit an area you specify,", THEN turn a wemo dimmer off",Generic/Other,"If the WeMo Dimmer is already off, it will remain off."
eeUbaX9B,WHEN every time you miss a phone call on your Android device,", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen",Light,You can enter either a hex value or a keyword for the color. Need help choosing a color? Bookmark nanoleaf.me/ifttt for easy access to a list and color picker.
ehgkbyi5,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
enpMx8Pw,WHEN every time the home you specify is set to Away,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
esaR5uQg,WHEN every time the temperature drops below a threshold you specify,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
etrM483v,WHEN a KNX device or binary switch is turned off,", THEN return control of your heating to tado⁠°, using your user-defined settings (e",Thermostat/Heating,g. location and Smart Schedule) to automatically determine the right room temperature.
evNut5kx,WHEN a specified tag senses that its ambient temperature returns between the upper and lower thresholds configured at temperature options screen inside the WirelessTag app,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
exNdAYsE,WHEN every time the home you specify is set to Away,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
eySjKDsr,WHEN every time your Myfox security system detects a household risk,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
ezBDypXY,WHEN every time you enter an area you specify,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
f9yztAiT,WHEN every time you enter an area you specify,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
fBgXMKbj,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
fCafMVbF,WHEN every time your WeMo Light Switch is turned off,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
fJ7KpPSC,WHEN every time your Android device disconnects from any WiFi network,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
fJaG8qkQ,WHEN every time you click the selected Flic,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
fKMeLC9h,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
fKpcWFua,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
fMcpiX4T,WHEN tado⁠° switches to Away Mode,", THEN return control of your heating to tado⁠°, using your user-defined settings (e",Thermostat/Heating,g. location and Smart Schedule) to automatically determine the right room temperature.
fSDstMvL,WHEN within 15 minutes of the sunset in your location,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
fUvucwTk,WHEN every time your Myfox security system detects an intrusion,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
fYViwt4F,WHEN every time your Android device connects to a WiFi network you specify,", THEN set the current room temperature to a level of your choice",Thermostat/Heating,This temperature level can be adjusted manually or if Clock Mode is activated.
fYh6ykj9,WHEN every time your WeMo Switch is turned off,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
fbNDFU5p,WHEN every time the temperature drops below the chosen value,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
feGCN6Tc,WHEN only on specific days of the week at the time you provide,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
fj4JVKke,WHEN every time the camera detects motion,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
frwEmGJY,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
ftc6N5TQ,WHEN every single day at a specific time set by you,", THEN turn on the pivot power genius outlet you specify",Generic/Other,"If the outlet is already on, it will remain on."
fvYDckhj,WHEN every time your WeMo Light Switch is turned on,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
fx5cWtRH,WHEN every time you enter an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
g2LCsHgD,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
g5kZqC76,WHEN every time your home exits away mode,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
g9EyiXVK,"WHEN an issue occurs, such as Low Battery, Device Offline, etc",", THEN turns on the selected group of wemo lights",Light,If the group is already on it will remain on.
gBWdnzhY,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
gC4m6JMH,WHEN every time your Android device connects to a WiFi network you specify,", THEN unpause your thermosmart, i",Generic/Other,e. set it to either a scheduled program or an exception if there is one for the current time.
gFjMVDwL,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
gJKge7qH,WHEN within 15 minutes of the sunrise in your location,", THEN turns off the selected group of wemo lights",Light,If the group is already off it will remain off.
gKNyMACQ,WHEN your Blink camera detects motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
gQT8egta,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
gRMwxbW4,WHEN every time your Myfox security system is partially armed,", THEN turn off your daikin ac unit",Air/Climate,It will be executed within 1 minute.
gRv6pqwP,WHEN every time a motion event is detected,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
gXHhMCB3,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
gb6DiTBv,WHEN every time you enter an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
gdDNmZs8,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
gh7eVAjq,WHEN every time a new reminder is added to the list you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
gmjt3KPQ,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
gpsbgFRj,WHEN every time you press the button,", THEN turn on your daikin ac unit, or change its settings",Air/Climate,It will be executed within 1 minute.
gs4kPK7y,WHEN every time your WeMo Motion sensor detects new motion after a specific period of inactivity,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
gtaVndkP,WHEN every time you enter an area you specify,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
gyYSpH64,WHEN you tap a gesture with a custom IFTTT task matching the ID of this trigger,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
h2qMFZY7,WHEN every time somebody rings your Ring Doorbell,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
h5pzGVDb,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
h7EFjTD4,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
h7c5ZfdT,WHEN every time your alarm goes off,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
hCqmy5hG,WHEN every time the camera detects a motion event,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
hDa8FXUB,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
hHhcCeLz,WHEN within 15 minutes of your unit having been turned on,", THEN turn off your daikin ac unit",Air/Climate,It will be executed within 1 minute.
hJZbAc7X,WHEN every time you exit an area you specify,", THEN set the current room temperature to a level of your choice",Thermostat/Heating,This temperature level can be adjusted manually or if Clock Mode is activated.
hRFn7NCH,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
hUcnFjtM,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
hXCpEUyW,WHEN the cost of the device attached to your WeMo Insight Switch rises above the daily value you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
hXsNjQ4D,WHEN every time you enter an area you specify,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
hdxtCFhn,WHEN every time a specific channel publishes a video,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
heh7MvKU,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
hgVnG3Y8,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
hhiZk46D,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
hjDTK5bY,WHEN every time you exit an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
hjbfhJ78,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
htzF4qV3,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
hvNJcCQx,WHEN every time your WeMo Insight Switch is turned off,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
hwq7xRJ6,WHEN every time your WeMo Motion sensor detects new motion after a specific period of inactivity,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
i4RJxHre,WHEN every time your SmartThings device's presence is no longer detected,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
i5cMsHFR,WHEN you tap a gesture with a custom IFTTT task matching the ID of this trigger,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
i6qF8sAQ,WHEN the room temperature rises above a user-defined value,", THEN return control of your heating to tado⁠°, using your user-defined settings (e",Thermostat/Heating,g. location and Smart Schedule) to automatically determine the right room temperature.
i7EFVUzP,WHEN every time you press the button,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
i8k7c3ta,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
iJXDGk7e,WHEN every time a device connects to Google Wifi,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
iS476QgZ,WHEN a leak is detected by the specified device,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
iZJsbCVR,WHEN every time your GE Dryer finishes a cycle,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
icV7MUzN,WHEN every time somebody rings your Ring Doorbell,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
